datetime,shop_id,shop_name,area,rank
2025-12-28 22:29:17,af71d098-e931-40c3-9dfb-6547d59a6872,Mの秘密,本八幡駅・京成八幡駅周辺,7
2025-12-28 22:29:17,e75c936c-dd13-4325-a8d6-f8e9c28e7cfa,茉莉花（ジャスミン）,北千住・亀有エリア,4
2025-12-28 22:29:17,e597a2c5-6794-4ec6-943c-d213187960d7,愛の憩,熊谷市内,8
2025-12-29 01:37:19,54c76f03-52cd-4ea3-a85e-d99c209a17c4,ヒトヤスミ,静岡市内,13
2025-12-29 01:37:19,5e1395cb-8060-4a9c-ab12-e7da964890ac,上女の愛,静岡市内,11
2025-12-29 01:37:19,2ab7e09e-3110-4e63-9853-e6ef8c45ecdb,濡れ濡れピーチ,静岡市内,18
2025-12-29 01:37:19,98f8c0e8-e9f5-4213-bee9-effd60d705af,癒心,静岡市内,9
2025-12-29 01:37:19,bbcff478-b063-4242-9b56-361002610f41,極上蜜愛,静岡市内,14
2025-12-29 01:37:19,e784ad2d-b5e4-4c0f-9d48-f49f4979726f,夜の恋人,静岡市内,21
2025-12-29 01:37:19,091f3f47-cd2b-4a6f-aa1d-e22668a16014,姫（ひめ）,静岡市内,12
2025-12-29 01:37:19,94548625-822a-4612-805f-1738195aceee,酔心♡よいこころ,静岡市内,7
2025-12-29 01:37:19,02785b70-6f53-411a-af12-2cb03454bdc6,淑女の手,静岡市内,10
2025-12-29 01:37:19,7d16108e-15e7-4cb3-9d68-3e97744aab66,百合,東神奈川駅周辺,10
2025-12-29 01:37:19,cb30aea9-f979-4e1c-99c6-b9edaeafff5b,花蝴蝶,川口駅周辺,3
2025-12-29 01:37:19,dbba0df6-f5c7-4b03-9cf9-76dc8c66a4d9,バラの物語,西船橋駅周辺,1
2025-12-29 01:37:19,7052f316-cd9d-403d-9496-ec3847a0e5a6,Lucky star,蒲田エリア,5
2025-12-29 01:37:19,70091ef5-47a2-47b1-9334-28475b7fdb28,究極ラヴァーズ,柏・我孫子エリア,1
2025-12-29 01:37:19,2aef38d2-f364-4d79-8a58-a4da532f1fcb,曼妮～マンニ～,沼津・富士エリア,5
2025-12-29 01:37:19,dd585ccd-0233-4e0f-a600-76327d46c271,15（いちご）,大和駅周辺,2
2025-12-29 01:37:19,833a6e0c-df81-4007-90dd-56026b499be6,癒の小部屋,大和駅周辺,3
2025-12-29 01:37:19,a3cacf42-eddf-41fb-82ac-5af0790d9a40,色っぽい,溝の口駅周辺,4
2025-12-29 01:37:19,51b9cdf3-971d-4af2-95a4-760fec21cdaf,天使のSPA,練馬駅周辺,7
2025-12-29 01:37:19,e025b240-9a99-4ede-91f4-6d489486d9eb,桜香源,新松戸駅周辺,1
2025-12-29 01:37:19,3c5a9e78-7040-44d0-a0dd-8135847f019a,オアシス,鶴見駅・京急鶴見駅周辺,8
2025-12-29 01:37:19,e1a922e9-a523-4614-8c9d-fce06e1127a3,小魔女,四谷・飯田橋・市ヶ谷エリア,1
2025-12-29 01:37:19,64a76f1d-92c0-4ef5-8e34-aa9bc4015044,花火,新越谷駅・南越谷駅周辺,4
2025-12-29 01:37:19,8ef45c54-228b-45c1-94c1-9f524d568ebd,癒しの森,赤羽・王子・板橋エリア,3
2025-12-29 01:37:19,15b567e5-6102-4dc3-aaff-d07ef162788e,Apple,春日部駅周辺,9
2025-12-29 01:37:19,37c48dde-8354-44cf-87ea-f24747e1cab5,夜猫,津市内,4
2025-12-29 01:37:19,af71d098-e931-40c3-9dfb-6547d59a6872,Mの秘密,本八幡駅・京成八幡駅周辺,9
2025-12-29 01:37:19,e75c936c-dd13-4325-a8d6-f8e9c28e7cfa,茉莉花（ジャスミン）,北千住・亀有エリア,3
2025-12-29 01:37:19,e597a2c5-6794-4ec6-943c-d213187960d7,愛の憩,熊谷市内,7
2025-12-29 01:38:01,54c76f03-52cd-4ea3-a85e-d99c209a17c4,ヒトヤスミ,静岡市内,13
2025-12-29 01:38:01,5e1395cb-8060-4a9c-ab12-e7da964890ac,上女の愛,静岡市内,11
2025-12-29 01:38:01,2ab7e09e-3110-4e63-9853-e6ef8c45ecdb,濡れ濡れピーチ,静岡市内,18
2025-12-29 01:38:01,98f8c0e8-e9f5-4213-bee9-effd60d705af,癒心,静岡市内,9
2025-12-29 01:38:01,bbcff478-b063-4242-9b56-361002610f41,極上蜜愛,静岡市内,14
2025-12-29 01:38:01,e784ad2d-b5e4-4c0f-9d48-f49f4979726f,夜の恋人,静岡市内,21
2025-12-29 01:38:01,091f3f47-cd2b-4a6f-aa1d-e22668a16014,姫（ひめ）,静岡市内,12
2025-12-29 01:38:01,94548625-822a-4612-805f-1738195aceee,酔心♡よいこころ,静岡市内,7
2025-12-29 01:38:01,02785b70-6f53-411a-af12-2cb03454bdc6,淑女の手,静岡市内,10
2025-12-29 01:38:01,7d16108e-15e7-4cb3-9d68-3e97744aab66,百合,東神奈川駅周辺,10
2025-12-29 01:38:01,cb30aea9-f979-4e1c-99c6-b9edaeafff5b,花蝴蝶,川口駅周辺,3
2025-12-29 01:38:01,dbba0df6-f5c7-4b03-9cf9-76dc8c66a4d9,バラの物語,西船橋駅周辺,1
2025-12-29 01:38:01,7052f316-cd9d-403d-9496-ec3847a0e5a6,Lucky star,蒲田エリア,5
2025-12-29 01:38:01,70091ef5-47a2-47b1-9334-28475b7fdb28,究極ラヴァーズ,柏・我孫子エリア,1
2025-12-29 01:38:01,2aef38d2-f364-4d79-8a58-a4da532f1fcb,曼妮～マンニ～,沼津・富士エリア,5
2025-12-29 01:38:01,dd585ccd-0233-4e0f-a600-76327d46c271,15（いちご）,大和駅周辺,2
2025-12-29 01:38:01,833a6e0c-df81-4007-90dd-56026b499be6,癒の小部屋,大和駅周辺,3
2025-12-29 01:38:01,a3cacf42-eddf-41fb-82ac-5af0790d9a40,色っぽい,溝の口駅周辺,4
2025-12-29 01:38:01,51b9cdf3-971d-4af2-95a4-760fec21cdaf,天使のSPA,練馬駅周辺,7
2025-12-29 01:38:01,e025b240-9a99-4ede-91f4-6d489486d9eb,桜香源,新松戸駅周辺,1
2025-12-29 01:38:01,3c5a9e78-7040-44d0-a0dd-8135847f019a,オアシス,鶴見駅・京急鶴見駅周辺,8
2025-12-29 01:38:01,e1a922e9-a523-4614-8c9d-fce06e1127a3,小魔女,四谷・飯田橋・市ヶ谷エリア,1
2025-12-29 01:38:01,64a76f1d-92c0-4ef5-8e34-aa9bc4015044,花火,新越谷駅・南越谷駅周辺,4
2025-12-29 01:38:01,8ef45c54-228b-45c1-94c1-9f524d568ebd,癒しの森,赤羽・王子・板橋エリア,3
2025-12-29 01:38:01,15b567e5-6102-4dc3-aaff-d07ef162788e,Apple,春日部駅周辺,9
2025-12-29 01:38:01,37c48dde-8354-44cf-87ea-f24747e1cab5,夜猫,津市内,4
2025-12-29 01:38:01,af71d098-e931-40c3-9dfb-6547d59a6872,Mの秘密,本八幡駅・京成八幡駅周辺,9
2025-12-29 01:38:01,e75c936c-dd13-4325-a8d6-f8e9c28e7cfa,茉莉花（ジャスミン）,北千住・亀有エリア,3
2025-12-29 01:38:01,e597a2c5-6794-4ec6-943c-d213187960d7,愛の憩,熊谷市内,7
2025-12-29 02:00:05,54c76f03-52cd-4ea3-a85e-d99c209a17c4,ヒトヤスミ,静岡市内,14
2025-12-29 02:00:05,5e1395cb-8060-4a9c-ab12-e7da964890ac,上女の愛,静岡市内,11
2025-12-29 02:00:05,2ab7e09e-3110-4e63-9853-e6ef8c45ecdb,濡れ濡れピーチ,静岡市内,18
2025-12-29 02:00:05,98f8c0e8-e9f5-4213-bee9-effd60d705af,癒心,静岡市内,9
2025-12-29 02:00:05,bbcff478-b063-4242-9b56-361002610f41,極上蜜愛,静岡市内,15
2025-12-29 02:00:05,e784ad2d-b5e4-4c0f-9d48-f49f4979726f,夜の恋人,静岡市内,21
2025-12-29 02:00:05,091f3f47-cd2b-4a6f-aa1d-e22668a16014,姫（ひめ）,静岡市内,12
2025-12-29 02:00:05,94548625-822a-4612-805f-1738195aceee,酔心♡よいこころ,静岡市内,7
2025-12-29 02:00:05,02785b70-6f53-411a-af12-2cb03454bdc6,淑女の手,静岡市内,10
2025-12-29 02:00:05,7d16108e-15e7-4cb3-9d68-3e97744aab66,百合,東神奈川駅周辺,10
2025-12-29 02:00:05,cb30aea9-f979-4e1c-99c6-b9edaeafff5b,花蝴蝶,川口駅周辺,3
2025-12-29 02:00:05,dbba0df6-f5c7-4b03-9cf9-76dc8c66a4d9,バラの物語,西船橋駅周辺,1
2025-12-29 02:00:05,7052f316-cd9d-403d-9496-ec3847a0e5a6,Lucky star,蒲田エリア,6
2025-12-29 02:00:05,70091ef5-47a2-47b1-9334-28475b7fdb28,究極ラヴァーズ,柏・我孫子エリア,1
2025-12-29 02:00:05,2aef38d2-f364-4d79-8a58-a4da532f1fcb,曼妮～マンニ～,沼津・富士エリア,4
2025-12-29 02:00:05,dd585ccd-0233-4e0f-a600-76327d46c271,15（いちご）,大和駅周辺,2
2025-12-29 02:00:05,833a6e0c-df81-4007-90dd-56026b499be6,癒の小部屋,大和駅周辺,3
2025-12-29 02:00:05,a3cacf42-eddf-41fb-82ac-5af0790d9a40,色っぽい,溝の口駅周辺,4
2025-12-29 02:00:05,51b9cdf3-971d-4af2-95a4-760fec21cdaf,天使のSPA,練馬駅周辺,7
2025-12-29 02:00:05,e025b240-9a99-4ede-91f4-6d489486d9eb,桜香源,新松戸駅周辺,1
2025-12-29 02:00:05,3c5a9e78-7040-44d0-a0dd-8135847f019a,オアシス,鶴見駅・京急鶴見駅周辺,7
2025-12-29 02:00:05,e1a922e9-a523-4614-8c9d-fce06e1127a3,小魔女,四谷・飯田橋・市ヶ谷エリア,1
2025-12-29 02:00:05,64a76f1d-92c0-4ef5-8e34-aa9bc4015044,花火,新越谷駅・南越谷駅周辺,4
2025-12-29 02:00:05,8ef45c54-228b-45c1-94c1-9f524d568ebd,癒しの森,赤羽・王子・板橋エリア,3
2025-12-29 02:00:05,15b567e5-6102-4dc3-aaff-d07ef162788e,Apple,春日部駅周辺,9
2025-12-29 02:00:05,37c48dde-8354-44cf-87ea-f24747e1cab5,夜猫,津市内,5
2025-12-29 02:00:05,af71d098-e931-40c3-9dfb-6547d59a6872,Mの秘密,本八幡駅・京成八幡駅周辺,9
2025-12-29 02:00:05,e75c936c-dd13-4325-a8d6-f8e9c28e7cfa,茉莉花（ジャスミン）,北千住・亀有エリア,3
2025-12-29 02:00:05,e597a2c5-6794-4ec6-943c-d213187960d7,愛の憩,熊谷市内,7
2025-12-29 03:00:05,54c76f03-52cd-4ea3-a85e-d99c209a17c4,ヒトヤスミ,静岡市内,14
2025-12-29 03:00:05,5e1395cb-8060-4a9c-ab12-e7da964890ac,上女の愛,静岡市内,12
2025-12-29 03:00:05,2ab7e09e-3110-4e63-9853-e6ef8c45ecdb,濡れ濡れピーチ,静岡市内,18
2025-12-29 03:00:05,98f8c0e8-e9f5-4213-bee9-effd60d705af,癒心,静岡市内,9
2025-12-29 03:00:05,bbcff478-b063-4242-9b56-361002610f41,極上蜜愛,静岡市内,15
2025-12-29 03:00:05,e784ad2d-b5e4-4c0f-9d48-f49f4979726f,夜の恋人,静岡市内,21
2025-12-29 03:00:05,091f3f47-cd2b-4a6f-aa1d-e22668a16014,姫（ひめ）,静岡市内,10
2025-12-29 03:00:05,94548625-822a-4612-805f-1738195aceee,酔心♡よいこころ,静岡市内,7
2025-12-29 03:00:05,02785b70-6f53-411a-af12-2cb03454bdc6,淑女の手,静岡市内,11
2025-12-29 03:00:05,7d16108e-15e7-4cb3-9d68-3e97744aab66,百合,東神奈川駅周辺,10
2025-12-29 03:00:05,cb30aea9-f979-4e1c-99c6-b9edaeafff5b,花蝴蝶,川口駅周辺,3
2025-12-29 03:00:05,dbba0df6-f5c7-4b03-9cf9-76dc8c66a4d9,バラの物語,西船橋駅周辺,1
2025-12-29 03:00:05,7052f316-cd9d-403d-9496-ec3847a0e5a6,Lucky star,蒲田エリア,6
2025-12-29 03:00:05,70091ef5-47a2-47b1-9334-28475b7fdb28,究極ラヴァーズ,柏・我孫子エリア,1
2025-12-29 03:00:05,2aef38d2-f364-4d79-8a58-a4da532f1fcb,曼妮～マンニ～,沼津・富士エリア,3
2025-12-29 03:00:05,dd585ccd-0233-4e0f-a600-76327d46c271,15（いちご）,大和駅周辺,2
2025-12-29 03:00:05,833a6e0c-df81-4007-90dd-56026b499be6,癒の小部屋,大和駅周辺,3
2025-12-29 03:00:05,a3cacf42-eddf-41fb-82ac-5af0790d9a40,色っぽい,溝の口駅周辺,4
2025-12-29 03:00:05,51b9cdf3-971d-4af2-95a4-760fec21cdaf,天使のSPA,練馬駅周辺,7
2025-12-29 03:00:05,e025b240-9a99-4ede-91f4-6d489486d9eb,桜香源,新松戸駅周辺,1
2025-12-29 03:00:05,3c5a9e78-7040-44d0-a0dd-8135847f019a,オアシス,鶴見駅・京急鶴見駅周辺,7
2025-12-29 03:00:05,e1a922e9-a523-4614-8c9d-fce06e1127a3,小魔女,四谷・飯田橋・市ヶ谷エリア,1
2025-12-29 03:00:05,64a76f1d-92c0-4ef5-8e34-aa9bc4015044,花火,新越谷駅・南越谷駅周辺,4
2025-12-29 03:00:05,8ef45c54-228b-45c1-94c1-9f524d568ebd,癒しの森,赤羽・王子・板橋エリア,3
2025-12-29 03:00:05,15b567e5-6102-4dc3-aaff-d07ef162788e,Apple,春日部駅周辺,9
2025-12-29 03:00:05,37c48dde-8354-44cf-87ea-f24747e1cab5,夜猫,津市内,5
2025-12-29 03:00:05,af71d098-e931-40c3-9dfb-6547d59a6872,Mの秘密,本八幡駅・京成八幡駅周辺,9
2025-12-29 03:00:05,e75c936c-dd13-4325-a8d6-f8e9c28e7cfa,茉莉花（ジャスミン）,北千住・亀有エリア,3
2025-12-29 03:00:05,e597a2c5-6794-4ec6-943c-d213187960d7,愛の憩,熊谷市内,7
2025-12-29 04:00:05,54c76f03-52cd-4ea3-a85e-d99c209a17c4,ヒトヤスミ,静岡市内,14
2025-12-29 04:00:05,5e1395cb-8060-4a9c-ab12-e7da964890ac,上女の愛,静岡市内,12
2025-12-29 04:00:05,2ab7e09e-3110-4e63-9853-e6ef8c45ecdb,濡れ濡れピーチ,静岡市内,18
2025-12-29 04:00:05,98f8c0e8-e9f5-4213-bee9-effd60d705af,癒心,静岡市内,9
2025-12-29 04:00:05,bbcff478-b063-4242-9b56-361002610f41,極上蜜愛,静岡市内,15
2025-12-29 04:00:05,e784ad2d-b5e4-4c0f-9d48-f49f4979726f,夜の恋人,静岡市内,21
2025-12-29 04:00:05,091f3f47-cd2b-4a6f-aa1d-e22668a16014,姫（ひめ）,静岡市内,10
2025-12-29 04:00:05,94548625-822a-4612-805f-1738195aceee,酔心♡よいこころ,静岡市内,7
2025-12-29 04:00:05,02785b70-6f53-411a-af12-2cb03454bdc6,淑女の手,静岡市内,11
2025-12-29 04:00:05,7d16108e-15e7-4cb3-9d68-3e97744aab66,百合,東神奈川駅周辺,10
2025-12-29 04:00:05,cb30aea9-f979-4e1c-99c6-b9edaeafff5b,花蝴蝶,川口駅周辺,3
2025-12-29 04:00:05,dbba0df6-f5c7-4b03-9cf9-76dc8c66a4d9,バラの物語,西船橋駅周辺,1
2025-12-29 04:00:05,7052f316-cd9d-403d-9496-ec3847a0e5a6,Lucky star,蒲田エリア,6
2025-12-29 04:00:05,70091ef5-47a2-47b1-9334-28475b7fdb28,究極ラヴァーズ,柏・我孫子エリア,1
2025-12-29 04:00:05,2aef38d2-f364-4d79-8a58-a4da532f1fcb,曼妮～マンニ～,沼津・富士エリア,3
2025-12-29 04:00:05,dd585ccd-0233-4e0f-a600-76327d46c271,15（いちご）,大和駅周辺,2
2025-12-29 04:00:05,833a6e0c-df81-4007-90dd-56026b499be6,癒の小部屋,大和駅周辺,3
2025-12-29 04:00:05,a3cacf42-eddf-41fb-82ac-5af0790d9a40,色っぽい,溝の口駅周辺,4
2025-12-29 04:00:05,51b9cdf3-971d-4af2-95a4-760fec21cdaf,天使のSPA,練馬駅周辺,7
2025-12-29 04:00:05,e025b240-9a99-4ede-91f4-6d489486d9eb,桜香源,新松戸駅周辺,1
2025-12-29 04:00:05,3c5a9e78-7040-44d0-a0dd-8135847f019a,オアシス,鶴見駅・京急鶴見駅周辺,7
2025-12-29 04:00:05,e1a922e9-a523-4614-8c9d-fce06e1127a3,小魔女,四谷・飯田橋・市ヶ谷エリア,1
2025-12-29 04:00:05,64a76f1d-92c0-4ef5-8e34-aa9bc4015044,花火,新越谷駅・南越谷駅周辺,4
2025-12-29 04:00:05,8ef45c54-228b-45c1-94c1-9f524d568ebd,癒しの森,赤羽・王子・板橋エリア,3
2025-12-29 04:00:05,15b567e5-6102-4dc3-aaff-d07ef162788e,Apple,春日部駅周辺,9
2025-12-29 04:00:05,37c48dde-8354-44cf-87ea-f24747e1cab5,夜猫,津市内,5
2025-12-29 04:00:05,af71d098-e931-40c3-9dfb-6547d59a6872,Mの秘密,本八幡駅・京成八幡駅周辺,9
2025-12-29 04:00:05,e75c936c-dd13-4325-a8d6-f8e9c28e7cfa,茉莉花（ジャスミン）,北千住・亀有エリア,3
2025-12-29 04:00:05,e597a2c5-6794-4ec6-943c-d213187960d7,愛の憩,熊谷市内,7
2025-12-29 05:00:04,54c76f03-52cd-4ea3-a85e-d99c209a17c4,ヒトヤスミ,静岡市内,14
2025-12-29 05:00:04,5e1395cb-8060-4a9c-ab12-e7da964890ac,上女の愛,静岡市内,12
2025-12-29 05:00:04,2ab7e09e-3110-4e63-9853-e6ef8c45ecdb,濡れ濡れピーチ,静岡市内,19
2025-12-29 05:00:04,98f8c0e8-e9f5-4213-bee9-effd60d705af,癒心,静岡市内,9
2025-12-29 05:00:04,bbcff478-b063-4242-9b56-361002610f41,極上蜜愛,静岡市内,15
2025-12-29 05:00:04,e784ad2d-b5e4-4c0f-9d48-f49f4979726f,夜の恋人,静岡市内,21
2025-12-29 05:00:04,091f3f47-cd2b-4a6f-aa1d-e22668a16014,姫（ひめ）,静岡市内,10
2025-12-29 05:00:04,94548625-822a-4612-805f-1738195aceee,酔心♡よいこころ,静岡市内,7
2025-12-29 05:00:04,02785b70-6f53-411a-af12-2cb03454bdc6,淑女の手,静岡市内,11
2025-12-29 05:00:04,7d16108e-15e7-4cb3-9d68-3e97744aab66,百合,東神奈川駅周辺,10
2025-12-29 05:00:04,cb30aea9-f979-4e1c-99c6-b9edaeafff5b,花蝴蝶,川口駅周辺,3
2025-12-29 05:00:04,dbba0df6-f5c7-4b03-9cf9-76dc8c66a4d9,バラの物語,西船橋駅周辺,1
2025-12-29 05:00:04,7052f316-cd9d-403d-9496-ec3847a0e5a6,Lucky star,蒲田エリア,6
2025-12-29 05:00:04,70091ef5-47a2-47b1-9334-28475b7fdb28,究極ラヴァーズ,柏・我孫子エリア,1
2025-12-29 05:00:04,2aef38d2-f364-4d79-8a58-a4da532f1fcb,曼妮～マンニ～,沼津・富士エリア,3
2025-12-29 05:00:04,dd585ccd-0233-4e0f-a600-76327d46c271,15（いちご）,大和駅周辺,2
2025-12-29 05:00:04,833a6e0c-df81-4007-90dd-56026b499be6,癒の小部屋,大和駅周辺,3
2025-12-29 05:00:04,a3cacf42-eddf-41fb-82ac-5af0790d9a40,色っぽい,溝の口駅周辺,4
2025-12-29 05:00:04,51b9cdf3-971d-4af2-95a4-760fec21cdaf,天使のSPA,練馬駅周辺,7
2025-12-29 05:00:04,e025b240-9a99-4ede-91f4-6d489486d9eb,桜香源,新松戸駅周辺,1
2025-12-29 05:00:04,3c5a9e78-7040-44d0-a0dd-8135847f019a,オアシス,鶴見駅・京急鶴見駅周辺,7
2025-12-29 05:00:04,e1a922e9-a523-4614-8c9d-fce06e1127a3,小魔女,四谷・飯田橋・市ヶ谷エリア,1
2025-12-29 05:00:04,64a76f1d-92c0-4ef5-8e34-aa9bc4015044,花火,新越谷駅・南越谷駅周辺,4
2025-12-29 05:00:04,8ef45c54-228b-45c1-94c1-9f524d568ebd,癒しの森,赤羽・王子・板橋エリア,3
2025-12-29 05:00:04,15b567e5-6102-4dc3-aaff-d07ef162788e,Apple,春日部駅周辺,9
2025-12-29 05:00:04,37c48dde-8354-44cf-87ea-f24747e1cab5,夜猫,津市内,5
2025-12-29 05:00:04,af71d098-e931-40c3-9dfb-6547d59a6872,Mの秘密,本八幡駅・京成八幡駅周辺,9
2025-12-29 05:00:04,e75c936c-dd13-4325-a8d6-f8e9c28e7cfa,茉莉花（ジャスミン）,北千住・亀有エリア,3
2025-12-29 05:00:04,e597a2c5-6794-4ec6-943c-d213187960d7,愛の憩,熊谷市内,7
2025-12-29 06:00:03,54c76f03-52cd-4ea3-a85e-d99c209a17c4,ヒトヤスミ,静岡市内,14
2025-12-29 06:00:03,5e1395cb-8060-4a9c-ab12-e7da964890ac,上女の愛,静岡市内,12
2025-12-29 06:00:03,2ab7e09e-3110-4e63-9853-e6ef8c45ecdb,濡れ濡れピーチ,静岡市内,19
2025-12-29 06:00:03,98f8c0e8-e9f5-4213-bee9-effd60d705af,癒心,静岡市内,10
2025-12-29 06:00:03,bbcff478-b063-4242-9b56-361002610f41,極上蜜愛,静岡市内,15
2025-12-29 06:00:03,e784ad2d-b5e4-4c0f-9d48-f49f4979726f,夜の恋人,静岡市内,21
